"region_count","ratio_tumor_tissue","largest_tumor_area","longest_axis_largest_tumor","pixels_gt_90","avg_prediction","max_area","mean_area","area_variance","area_skew","area_kurt","max_perimeter","mean_perimeter","perimeter_variance","perimeter_skew","perimeter_kurt","max_eccentricity","mean_eccentricity","eccentricity_variance","eccentricity_skew","eccentricity_kurt","max_extent","mean_extent","extent_variance","extent_skew","extent_kurt","max_solidity","mean_solidity","solidity_variance","solidity_skew","solidity_kurt","label"
3.0,0.0,21.0,9.5,3.0,233.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.91,0.04,-1.8,1.57,1.0,1.0,0.0,0.0,-3.0,1
2.0,0.0,12.0,8.15,2.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.88,0.05,-1.5,0.59,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,6.0,3.83,2.0,242.0,2.0,2.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,0.92,0.04,-2.0,2.32,1.0,1.0,0.0,0.0,-3.0,1
3.0,0.0,84.0,24.49,3.0,233.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.91,0.04,-1.79,1.55,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,2.0,2.83,1.0,240.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.02,-2.85,6.1,1.0,1.0,0.0,0.0,-3.0,1
2.0,0.0,9.0,5.39,2.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.02,-2.88,6.82,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,4.0,6.32,2.0,238.0,2.0,2.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,0.96,0.02,-3.29,9.7,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,3.0,2.31,1.0,241.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.02,-3.56,11.16,1.0,1.0,0.0,0.0,-3.0,1
19.0,0.0,30.0,13.42,19.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.9,0.04,-1.66,1.11,1.0,1.0,0.0,0.0,-3.0,1
4.0,0.0,9.0,8.12,4.0,231.25,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.9,0.04,-1.67,1.0,1.0,1.0,0.0,0.0,-3.0,1
36.0,0.01,30.0,10.47,69.0,236.07,10.0,1.92,3.63,2.74,7.68,9.41,0.65,3.17,3.63,13.92,1.0,0.28,0.18,0.88,-1.18,1.0,0.84,0.07,-1.04,-0.72,1.0,0.96,0.01,-2.36,3.91,1
2.0,0.0,3.0,3.27,2.0,235.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1
3.0,0.0,8.0,4.8,6.0,238.25,4.0,2.0,2.0,0.71,-1.5,4.41,1.47,4.33,0.71,-1.5,0.92,0.31,0.19,0.71,-1.5,1.0,0.88,0.04,-1.37,0.16,1.0,1.0,0.0,0.0,-3.0,1
14.0,0.01,53.0,19.23,90.0,238.7,22.0,6.43,63.53,1.26,-0.21,18.69,5.18,50.84,1.16,-0.36,0.91,0.41,0.17,0.03,-1.95,1.0,0.94,0.03,-2.39,4.21,1.0,0.88,0.03,-0.84,-1.06,1
18.0,0.0,27.0,16.12,44.0,239.67,8.0,2.44,4.8,1.48,0.82,7.83,1.61,6.9,1.37,0.35,1.0,0.4,0.2,0.26,-1.88,1.0,0.95,0.02,-2.98,7.49,1.0,0.94,0.01,-1.43,0.17,1
38.0,0.03,215.0,40.26,138.0,236.64,38.0,3.63,43.23,4.03,17.29,33.35,2.57,38.84,3.56,13.62,1.0,0.36,0.2,0.46,-1.75,1.0,0.87,0.06,-1.37,0.08,1.0,0.93,0.02,-2.15,3.37,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22.0,0.02,96.0,22.98,222.0,241.55,49.0,10.09,142.72,1.86,2.98,40.76,8.44,106.38,1.6,2.2,1.0,0.67,0.17,-0.98,-0.99,1.0,0.92,0.04,-2.01,2.23,1.0,0.83,0.02,-0.11,-1.53,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23.0,0.0,70.0,18.31,28.0,232.55,3.0,1.22,0.26,2.3,4.41,3.41,0.15,0.48,4.48,18.05,1.0,0.17,0.13,1.75,1.11,1.0,0.82,0.07,-0.93,-0.86,1.0,1.0,0.0,0.0,-3.0,1
6.0,0.0,14.0,7.7,8.0,239.67,2.0,1.33,0.22,0.71,-1.5,0.0,0.0,0.0,0.0,-3.0,1.0,0.33,0.22,0.71,-1.5,1.0,0.94,0.03,-2.39,4.02,1.0,1.0,0.0,0.0,-3.0,1
6.0,0.0,23.0,10.21,7.0,237.67,2.0,1.17,0.14,1.79,1.2,0.0,0.0,0.0,0.0,-3.0,1.0,0.17,0.14,1.79,1.2,1.0,0.9,0.04,-1.69,1.13,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,3.0,2.31,1.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.94,0.02,-2.65,5.59,1.0,1.0,0.0,0.0,-3.0,1
2.0,0.0,16.0,5.84,2.0,235.5,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.94,0.02,-2.57,5.03,1.0,1.0,0.0,0.0,-3.0,1
32.0,0.01,167.0,34.93,136.0,242.14,39.0,4.25,49.12,3.85,16.0,35.52,2.81,43.96,3.79,15.64,1.0,0.53,0.22,-0.22,-1.92,1.0,0.91,0.04,-2.03,2.61,1.0,0.91,0.03,-1.51,0.93,1
112.0,0.03,118.0,22.78,618.0,240.57,109.0,5.52,211.12,4.95,26.45,88.53,3.77,141.59,4.89,26.44,1.0,0.43,0.21,0.17,-1.9,1.0,0.85,0.06,-1.17,-0.35,1.0,0.92,0.02,-1.84,2.36,1
1.0,0.0,9.0,7.53,1.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.92,0.03,-1.91,1.75,1.0,1.0,0.0,0.0,-3.0,1
2.0,0.0,12.0,11.77,2.0,235.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.91,0.04,-1.92,2.03,1.0,1.0,0.0,0.0,-3.0,1
49.0,0.01,40.0,16.61,65.0,240.1,6.0,1.33,0.79,3.66,14.52,5.45,0.23,0.93,4.26,17.67,1.0,0.18,0.14,1.65,0.76,1.0,0.85,0.06,-1.15,-0.43,1.0,0.99,0.0,-5.57,30.86,1
2.0,0.0,6.0,4.81,2.0,232.5,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.98,0.01,-4.21,16.02,1.0,1.0,0.0,0.0,-3.0,1
47.0,0.05,57.0,19.03,150.0,241.06,16.0,3.19,12.71,1.89,2.82,13.83,1.94,13.2,1.84,2.35,1.0,0.48,0.22,-0.0,-1.95,1.0,0.84,0.06,-1.17,-0.23,1.0,0.94,0.02,-2.15,3.69,1
3.0,0.0,10.0,9.78,7.0,238.2,5.0,2.33,3.56,0.71,-1.5,3.41,1.14,2.59,0.71,-1.5,0.94,0.31,0.2,0.71,-1.5,1.0,0.91,0.04,-1.76,1.29,1.0,0.88,0.03,-0.71,-1.5,1
48.0,0.01,63.0,23.08,54.0,230.59,3.0,1.12,0.15,3.26,10.44,1.41,0.03,0.04,6.71,43.02,1.0,0.1,0.09,2.62,4.92,1.0,0.8,0.07,-0.74,-1.2,1.0,0.99,0.0,-6.71,43.02,1
17.0,0.0,40.0,12.67,18.0,235.03,2.0,1.06,0.06,3.75,12.06,0.0,0.0,0.0,0.0,-3.0,1.0,0.06,0.06,3.75,12.06,1.0,0.9,0.04,-1.77,1.58,1.0,1.0,0.0,0.0,-3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23.0,0.0,14.0,8.85,40.0,236.29,5.0,1.74,1.24,1.29,0.78,4.21,0.58,1.24,2.16,3.81,1.0,0.33,0.2,0.67,-1.52,1.0,0.91,0.04,-1.86,1.86,1.0,0.98,0.0,-3.15,8.36,1
14.0,0.01,33.0,16.09,62.0,239.94,17.0,4.43,20.39,1.61,1.64,18.49,3.19,28.05,1.78,2.25,1.0,0.7,0.14,-1.14,-0.38,1.0,0.95,0.02,-3.14,8.41,1.0,0.88,0.02,-0.48,-1.5,1
9.0,0.03,26.0,8.64,42.0,240.9,22.0,4.67,40.67,2.15,3.11,18.49,2.9,33.08,2.14,3.03,1.0,0.59,0.19,-0.46,-1.6,1.0,0.9,0.04,-1.63,0.71,1.0,0.93,0.02,-1.73,1.43,1
6.0,0.08,589.0,67.17,497.0,240.14,268.0,82.83,13039.14,0.76,-1.36,169.68,55.05,5649.87,0.72,-1.46,1.0,0.61,0.19,-0.68,-1.5,1.0,0.97,0.02,-4.59,19.04,1.0,0.82,0.04,-0.35,-1.62,1
2.0,0.0,16.0,9.29,2.0,235.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.9,0.04,-1.69,1.12,1.0,1.0,0.0,0.0,-3.0,1
4.0,0.0,5.0,4.09,5.0,237.88,2.0,1.25,0.19,1.15,-0.67,0.0,0.0,0.0,0.0,-3.0,1.0,0.25,0.19,1.15,-0.67,1.0,0.93,0.03,-2.3,3.53,1.0,1.0,0.0,0.0,-3.0,1
7.0,0.0,17.0,9.05,8.0,238.64,2.0,1.14,0.12,2.04,2.17,0.0,0.0,0.0,0.0,-3.0,1.0,0.14,0.12,2.04,2.17,1.0,0.92,0.03,-1.91,1.92,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,13.0,5.83,1.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.86,0.05,-1.24,-0.05,1.0,1.0,0.0,0.0,-3.0,1
185.0,0.05,308.0,35.71,639.0,239.43,60.0,3.45,47.23,5.09,30.78,52.21,2.17,38.47,4.96,29.81,1.0,0.37,0.2,0.41,-1.76,1.0,0.82,0.07,-0.96,-0.79,1.0,0.95,0.02,-2.42,4.84,1
4.0,0.0,27.0,11.25,39.0,237.14,21.0,9.75,79.69,0.12,-1.85,17.41,8.47,71.79,0.0,-1.99,0.96,0.48,0.23,0.0,-2.0,1.0,0.94,0.02,-2.52,4.74,1.0,0.82,0.03,-0.25,-1.68,1
195.0,0.01,143.0,36.09,240.0,235.02,8.0,1.23,0.46,5.89,49.43,7.62,0.09,0.42,9.29,96.67,1.0,0.17,0.14,1.78,1.17,1.0,0.79,0.07,-0.67,-1.25,1.0,1.0,0.0,-8.06,63.83,1
38.0,0.11,450.0,25.92,1721.0,243.57,434.0,45.29,8824.0,2.62,6.54,146.23,22.77,1619.27,1.87,2.29,1.0,0.59,0.16,-0.6,-1.37,1.0,0.88,0.04,-1.39,0.18,1.0,0.9,0.02,-1.16,0.05,1
3.0,0.0,9.0,6.65,3.0,234.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.93,0.03,-2.08,2.54,1.0,1.0,0.0,0.0,-3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22.0,0.0,30.0,9.65,58.0,241.2,24.0,2.64,23.41,3.9,14.29,18.07,1.41,15.61,3.46,11.49,1.0,0.26,0.18,1.04,-0.91,1.0,0.89,0.05,-1.67,1.03,1.0,0.96,0.01,-2.64,5.89,1
13.0,0.01,133.0,18.62,131.0,236.42,115.0,10.08,917.92,3.17,8.07,80.98,6.4,463.65,3.17,8.08,1.0,0.21,0.15,1.34,-0.12,1.0,0.87,0.05,-1.28,-0.09,1.0,0.98,0.01,-3.18,8.08,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
254.0,0.02,74.0,19.15,304.0,233.09,6.0,1.2,0.31,4.2,24.87,5.62,0.09,0.32,7.06,52.97,1.0,0.15,0.12,1.98,1.94,1.0,0.78,0.07,-0.59,-1.34,1.0,1.0,0.0,-11.34,128.15,1
73.0,0.01,120.0,23.8,91.0,237.76,4.0,1.25,0.35,2.64,6.94,1.41,0.06,0.07,4.66,19.87,1.0,0.17,0.13,1.71,0.98,1.0,0.84,0.06,-1.08,-0.56,1.0,0.99,0.0,-4.79,21.48,1
5.0,0.0,16.0,8.38,14.0,242.1,10.0,2.8,12.96,1.5,0.25,8.45,1.69,11.42,1.5,0.25,0.87,0.17,0.12,1.5,0.25,1.0,0.96,0.02,-3.2,8.55,1.0,0.93,0.02,-1.5,0.25,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27.0,0.13,368.0,38.27,608.0,241.52,308.0,22.52,4547.66,3.47,10.72,223.99,16.45,2388.48,3.46,10.74,1.0,0.51,0.19,-0.27,-1.8,1.0,0.89,0.05,-1.59,0.87,1.0,0.91,0.03,-1.71,1.31,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0,7.0,4.46,1.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.96,0.02,-3.08,7.74,1.0,1.0,0.0,0.0,-3.0,1
85.0,0.01,146.0,19.28,177.0,241.74,13.0,2.08,4.38,2.82,9.19,12.24,1.01,5.33,2.73,7.74,1.0,0.33,0.2,0.62,-1.55,1.0,0.85,0.06,-1.13,-0.42,1.0,0.96,0.01,-2.63,5.92,1
10.0,0.0,8.0,5.71,14.0,236.8,3.0,1.4,0.44,1.4,0.61,1.21,0.12,0.13,2.67,5.11,1.0,0.3,0.21,0.87,-1.24,1.0,0.93,0.03,-1.99,2.0,1.0,1.0,0.0,0.0,-3.0,1
3.0,0.0,8.0,7.48,3.0,233.33,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.02,-2.6,5.02,1.0,1.0,0.0,0.0,-3.0,1
20.0,0.01,26.0,13.55,40.0,238.94,5.0,2.0,1.7,1.22,0.29,5.21,0.75,2.34,1.93,2.28,1.0,0.48,0.23,0.03,-1.96,1.0,0.86,0.05,-1.25,-0.14,1.0,0.97,0.01,-2.09,2.63,1
2.0,0.0,8.0,4.42,5.0,234.25,4.0,2.5,2.25,0.0,-2.0,3.21,1.6,2.57,0.0,-2.0,0.91,0.46,0.21,0.0,-2.0,1.0,0.92,0.03,-1.77,1.36,1.0,1.0,0.0,0.0,-3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.0,0.0,3.0,2.31,2.0,244.5,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.99,0.0,-3.75,12.06,1.0,1.0,0.0,0.0,-3.0,1
62.0,0.02,42.0,11.78,186.0,239.33,21.0,3.0,17.42,3.07,9.06,19.86,1.92,18.19,2.8,7.42,1.0,0.42,0.22,0.23,-1.9,1.0,0.88,0.05,-1.44,0.46,1.0,0.95,0.01,-2.38,4.33,1
9.0,0.0,14.0,11.04,14.0,233.39,4.0,1.56,0.91,1.75,1.84,4.62,0.51,2.11,2.47,4.13,1.0,0.31,0.2,0.76,-1.37,1.0,0.93,0.03,-2.24,3.35,1.0,1.0,0.0,0.0,-3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14.0,0.01,47.0,10.42,137.0,239.11,40.0,9.79,133.6,1.46,1.15,27.66,7.14,78.04,1.1,0.14,1.0,0.55,0.18,-0.46,-1.63,1.0,0.92,0.03,-1.97,2.14,1.0,0.89,0.01,-0.26,-1.56,1
24.0,0.01,52.0,18.44,127.0,240.93,32.0,5.29,52.62,2.37,5.46,30.9,4.04,51.3,2.39,5.76,1.0,0.47,0.2,-0.06,-1.88,1.0,0.91,0.04,-1.8,1.58,1.0,0.88,0.03,-1.02,-0.53,1
10.0,0.0,19.0,9.37,18.0,236.06,4.0,1.8,1.16,0.88,-0.77,3.41,0.7,1.4,1.37,0.29,1.0,0.38,0.22,0.44,-1.77,1.0,0.94,0.03,-2.48,4.6,1.0,0.96,0.01,-1.56,0.51,1
2.0,0.0,41.0,11.32,37.0,241.94,36.0,18.5,306.25,0.0,-2.0,27.49,13.74,188.86,0.0,-2.0,0.87,0.44,0.19,0.0,-2.0,1.0,0.95,0.03,-2.93,7.01,1.0,0.89,0.01,0.0,-2.0,1
47.0,0.02,544.0,44.9,369.0,239.04,202.0,7.85,926.34,5.72,32.68,157.84,5.64,569.2,5.71,32.66,1.0,0.43,0.21,0.17,-1.91,1.0,0.89,0.05,-1.52,0.65,1.0,0.94,0.02,-2.19,3.7,1
59.0,0.47,19527.0,183.25,30830.0,237.22,18707.0,522.54,7320139.4,5.8,33.83,6711.15,167.35,826010.67,6.52,42.99,1.0,0.41,0.19,0.24,-1.8,1.0,0.88,0.05,-1.52,0.77,1.0,0.92,0.02,-2.05,4.33,1
20.0,0.0,255.0,26.45,26.0,232.24,5.0,1.3,0.81,3.49,11.33,4.62,0.23,1.01,4.13,15.05,1.0,0.15,0.12,1.97,1.89,1.0,0.83,0.07,-0.98,-0.74,1.0,0.99,0.0,-4.13,15.05,1
76.0,0.22,7479.0,221.7,13159.0,237.97,6834.0,173.14,666321.1,7.25,55.49,2811.52,73.44,113043.84,7.2,55.01,1.0,0.48,0.21,-0.07,-1.91,1.0,0.87,0.05,-1.28,-0.04,1.0,0.92,0.02,-1.48,1.04,1
6.0,0.0,5.0,3.2,8.0,241.83,3.0,1.33,0.56,1.79,1.2,1.21,0.2,0.2,1.79,1.2,0.97,0.16,0.13,1.79,1.2,1.0,0.96,0.02,-3.26,8.93,1.0,1.0,0.0,0.0,-3.0,1
2.0,0.0,7.0,4.5,2.0,234.5,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.92,0.03,-1.94,1.91,1.0,1.0,0.0,0.0,-3.0,1
2.0,0.0,17.0,7.85,3.0,236.5,2.0,1.5,0.25,0.0,-2.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.5,0.25,0.0,-2.0,1.0,0.95,0.02,-2.73,5.95,1.0,1.0,0.0,0.0,-3.0,1
50.0,0.01,179.0,33.72,80.0,237.73,14.0,1.6,3.8,5.28,29.99,15.07,0.59,5.26,5.22,29.12,1.0,0.2,0.15,1.4,0.01,1.0,0.83,0.07,-1.1,-0.45,1.0,0.99,0.0,-6.86,45.02,1
